title,time,M,SD
p1_0,1830.0,7.77279745418,0.0522321804825
p1_1,1830.25,7.62540514893,0.115763206291
p1_2,1830.5,7.67416956464,0.0455649244671
p1_3,1830.75,7.69541125777,0.0781389654874
p2_0,1830.0,8.07523461529,0.0850397821699
p2_1,1830.25,7.705389525,0.25000096091
p2_2,1830.5,7.81121510325,0.230123020885
p2_3,1830.75,7.79327796128,0.190610705583
CC_0,1833.0,7.96798917605,0.163996368547
CC_1,1833.25,7.68349460358,0.204509330438
CC_2,1833.5,7.92022754764,0.0841567933986
Not1_0,1833.0,7.6163825898,0.168304410848
Not1_1,1833.25,7.60522938922,0.282253621794
Not1_2,1833.5,7.6767759476,0.224525536975
Not1_3,1833.75,7.78487586506,0.268050605239
FQA_0,1834.0,7.12738650834,0.0
FQA_1,1834.25,7.03051921968,0.0
FQA_2,1834.5,7.09383346691,0.0
p30_0,1834.0,7.32581223769,0.0
p30_1,1834.25,7.07745219024,0.0
p30_2,1834.5,7.31848131386,0.0
p30_3,1834.75,7.33194101019,0.0
p48_0,1834.0,7.54639399394,0.219470940204
p48_1,1834.25,7.48675461808,0.0246172677925
p48_2,1834.5,7.31167428194,0.118475967222
p48_3,1834.75,7.63540417256,0.116136808338
p95_0,1834.0,7.54465510587,0.103828605794
p95_1,1834.25,7.52333642595,0.0806121723858
p95_2,1834.5,7.60836909635,0.11725316926
p247_0,1834.0,7.81804590409,0.0
p247_1,1834.25,7.4949967778,0.0
p247_2,1834.5,7.45885318581,0.0
p247_3,1834.75,7.58910193095,0.0
p592_0,1834.0,7.96044386441,0.0
p592_1,1834.25,7.31197818062,0.0
p592_2,1834.5,7.59414746,0.0
p592_3,1834.75,7.30703878356,0.0
AA_0,1835.0,7.65863219136,0.127906872022
AA_1,1835.25,7.45411259257,0.0939269415609
AA_2,1835.5,7.55984414957,0.0779557627035
Not2_0,1835.0,7.7768989862,0.0
Not2_1,1835.25,7.4415046694,0.0
Not2_2,1835.5,7.50221074921,0.0
Not2_3,1835.75,7.49238146092,0.0
Not3_0,1835.0,8.0393096817,0.128714948723
Not3_1,1835.25,8.00532332761,0.138558058571
Not3_2,1835.5,7.78448619588,0.289739620164
Not3_3,1835.75,7.66881669048,0.0519162133088
p252_0,1835.0,7.8209610115,0.0
p252_1,1835.25,7.79111483227,0.0
p252_2,1835.5,7.75331153703,0.0
p254_0,1835.0,7.60315374894,0.130148152866
p254_1,1835.25,7.5759144506,0.0919619715594
p254_2,1835.5,7.38837667805,0.114062078401
p254_3,1835.75,7.39768744098,0.154593304418
KM_0,1836.0,7.55144900615,0.0
KM_1,1836.25,7.39727264947,0.0
KM_2,1836.5,7.34477196204,0.0
KM_3,1836.75,7.72081200907,0.0
FP_0,1836.0,7.78541399448,0.0
FP_1,1836.25,7.44792813196,0.0
FP_2,1836.5,7.2687073555,0.0
OL_0,1836.0,7.60438089099,0.0
OL_1,1836.25,7.35774559899,0.0
OL_2,1836.5,7.25754976043,0.0
OL_3,1836.75,7.01394744835,0.0
BB_0,1836.0,7.9360318815,0.181619374561
BB_1,1836.25,7.8416288984,0.199059032626
BB_2,1836.5,7.63893030907,0.238848563054
BB_3,1836.75,7.59362818942,0.13995710191
CC:12_0,1836.0,7.64005700154,0.175083522896
CC:12_1,1836.25,7.59051962345,0.158054420655
CC:12_2,1836.5,7.57758319196,0.0663855862262
FF_0,1836.0,7.66296360022,0.146066091124
FF_1,1836.25,7.66341177013,0.0965103960061
FF_2,1836.5,7.56725791444,0.123797828441
FF_3,1836.75,7.59456852632,0.145412330185
DD_0,1837.0,7.57476915856,0.20581861205
DD_1,1837.25,7.38399350589,0.174085680136
DD_2,1837.5,7.25180080951,0.0936520006865
DD_3,1837.75,7.5035279917,0.252462319316
DD:208_0,1837.0,6.72365577376,0.0
DD:208_1,1837.25,6.36055981745,0.0
DD:208_2,1837.5,6.71049465075,0.0
DD:208_3,1837.75,6.66329254767,0.0
Not4_0,1837.0,7.34776740026,0.0
Not4_1,1837.25,6.96728184979,0.0
Not4_2,1837.5,7.45112581344,0.0
Not4_3,1837.75,7.33209643044,0.0
p255_0,1837.0,7.58309157894,0.101129993993
p255_1,1837.25,7.49888416035,0.0759427121297
p255_2,1837.5,7.45009988378,0.146090880631
p255_3,1837.75,7.59376618892,0.223633148845
p284_0,1837.0,7.18403286433,0.0
p284_1,1837.25,7.10002960959,0.0
p284_2,1837.5,7.03486790515,0.0
p284_3,1837.75,6.9653141829,0.0
LP_0,1838.0,7.36768969642,0.186844433382
LP_1,1838.25,7.43066942444,0.0860030140732
LP_2,1838.5,7.75858531555,0.236043959061
LP_3,1838.75,7.51409337921,0.32314741593
GG_0,1838.0,6.76343397456,0.0
GG_1,1838.25,6.94042737939,0.0
GG_2,1838.5,7.00066059625,0.0
GG_3,1838.75,7.11824164665,0.0
KK_0,1838.0,7.61279321328,0.134399868186
KK_1,1838.25,7.54603340046,0.0846695964896
KK_2,1838.5,7.58375265273,0.128364282172
KK_3,1838.75,7.36393886651,0.16623908056
KK:9_0,1838.0,7.31812322023,0.0
KK:9_1,1838.25,7.23929949803,0.0
KK:9_2,1838.5,6.95169141256,0.0
KK:9_3,1838.75,6.87560041394,0.0
p259_0,1838.0,7.66521210521,0.0
p259_1,1838.25,7.59027460354,0.0
p259_2,1838.5,7.71989747378,0.0
EE_0,1839.0,7.54231272586,0.0
EE_1,1839.25,7.2559281513,0.0
EE_2,1839.5,7.08219236464,0.0
EE_3,1839.75,7.27277851596,0.0
EE:195_0,1839.0,7.42535741126,0.0949257216395
EE:195_1,1839.25,7.32846729094,0.0587071984111
EE:195_2,1839.5,7.14780321361,0.0144680028974
p260_0,1839.0,7.70001563011,0.0
p260_1,1839.25,7.64604478999,0.0
p260_2,1839.5,7.3723037358,0.0
p260_3,1839.75,7.47843241617,0.0
p261_0,1839.0,7.67738234446,0.0
p261_1,1839.25,7.5177713807,0.0
p261_2,1839.5,7.46482742353,0.0
OiA_0,1840.0,7.86659453718,0.0
OiA_1,1840.25,7.57181712806,0.0
OiA_2,1840.5,7.53557980327,0.0
OiA_3,1840.75,7.32202165372,0.0
HH_0,1840.0,7.27956240924,0.0
HH_1,1840.25,7.36246351059,0.0
HH_2,1840.5,7.05193937282,0.0
HH_3,1840.75,7.35210877013,0.0
Not5_0,1840.0,6.26697418127,0.0
Not5_1,1840.25,5.78933255611,0.0
Not5_2,1840.5,6.06419899501,0.0
Not5_3,1840.75,5.99426991693,0.0
Not6_0,1840.0,7.47043066773,0.212112178582
Not6_1,1840.25,7.45270571456,0.160363234102
Not6_2,1840.5,7.3207533757,0.244274523477
Not6_3,1840.75,7.62143193445,0.249685810093
Not7_0,1840.0,7.41352164299,0.188528869093
Not7_1,1840.25,7.05900729723,0.0612842565101
Not7_2,1840.5,7.17967891857,0.0838528991196
Not7_3,1840.75,7.41879416639,0.0415439251029
p264_0,1840.0,7.21534892125,0.178110769836
p264_1,1840.25,7.30263545125,0.173422455769
p264_2,1840.5,7.23156272862,0.162088083132
p265_0,1840.0,7.569779298,0.408492765422
p265_1,1840.25,7.18430623232,0.0817764025551
p265_2,1840.5,7.37107410617,0.267182907329
p265_3,1840.75,7.21782024769,0.0789087295669
BI_0,1841.0,7.17085766965,0.169054933735
BI_1,1841.25,7.16277165826,0.219420401922
BI_2,1841.5,7.07357545729,0.22160663174
BI_3,1841.75,7.35207196315,0.0992429463828
Not8_0,1841.0,7.57904122116,0.142000870467
Not8_1,1841.25,7.4242937948,0.0997702143549
Not8_2,1841.5,7.20762333141,0.0599061728132
Not8_3,1841.75,7.25665164771,0.00319090114321
Not8:49_0,1841.0,7.24907202487,0.0
Not8:49_1,1841.25,6.94111667017,0.0
Not8:49_2,1841.5,6.93766753999,0.0
Not9_0,1841.0,7.67657087663,0.0
Not9_1,1841.25,7.40032185211,0.0
Not9_2,1841.5,7.37955248261,0.0
Not9:2_0,1841.0,7.37269397474,0.154036296602
Not9:2_1,1841.25,7.04017172375,0.163096320118
Not9:2_2,1841.5,7.06713557984,0.175173769781
Not10_0,1841.0,7.50614996879,0.15762616483
Not10_1,1841.25,7.44793577922,0.107303259987
Not10_2,1841.5,7.47214987946,0.0853967414127
Not10_3,1841.75,7.40954718397,0.181632501706
Not11_0,1841.0,7.69295006748,0.0
Not11_1,1841.25,7.32133555468,0.0
Not11_2,1841.5,7.66223408789,0.0
p270_0,1841.0,7.70951950703,0.182495423457
p270_1,1841.25,7.62005067383,0.192450257231
p270_2,1841.5,7.67807731403,0.125908978571
p270_3,1841.75,7.40620610335,0.199687503262
p271_0,1841.0,6.57188021672,0.0
p271_1,1841.25,6.23994013025,0.0
p271_2,1841.5,6.51372975942,0.0
p271_3,1841.75,6.51983855744,0.0
AaS_0,1842.0,7.31502302389,0.190111946696
AaS_1,1842.25,7.23750267888,0.163677208858
AaS_2,1842.5,7.3412645558,0.149116679774
AaS_3,1842.75,7.36519489833,0.147143809119
JC_0,1842.0,7.27242090806,0.158262617548
JC_1,1842.25,7.20996755788,0.156455345797
JC_2,1842.5,7.07908960098,0.212942229949
JC_3,1842.75,7.15288287468,0.203218608825
JJ_0,1842.0,7.34491191783,0.144778341376
JJ_1,1842.25,7.42977999699,0.0692305203863
JJ_2,1842.5,7.33742154739,0.159643869542
JJ_3,1842.75,7.27165682354,0.171860599284
JJ:505_0,1842.0,7.25387655777,0.237257709529
